trial_name,epoch,accuracy,loss,val_accuracy,val_loss
"LR=0.001, Opt=Adam, Epochs=50",1,0.5714,0.6722,0.5950,0.6885
"LR=0.001, Opt=Adam, Epochs=50",2,0.5949,0.6850,0.5950,0.6820
"LR=0.001, Opt=Adam, Epochs=50",3,0.5949,0.6802,0.5950,0.6786
"LR=0.001, Opt=Adam, Epochs=50",4,0.5949,0.6776,0.5950,0.6768
"LR=0.001, Opt=Adam, Epochs=50",5,0.5949,0.6764,0.5950,0.6758
"LR=0.001, Opt=Adam, Epochs=50",6,0.5949,0.6757,0.5950,0.6754
"LR=0.001, Opt=Adam, Epochs=50",7,0.5949,0.6754,0.5950,0.6752
"LR=0.001, Opt=Adam, Epochs=50",8,0.5949,0.6752,0.5950,0.6751
"LR=0.001, Opt=Adam, Epochs=50",9,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",10,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",11,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",12,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",13,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",14,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",15,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",16,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",17,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",18,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",19,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",20,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",21,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",22,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",23,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",24,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",25,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",26,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",27,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",28,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",29,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",30,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",31,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",32,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",33,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",34,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",35,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",36,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",37,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",38,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",39,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",40,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",41,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",42,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",43,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",44,0.5949,0.6750,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",45,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",46,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",47,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",48,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",49,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=Adam, Epochs=50",50,0.5949,0.6751,0.5950,0.6750
"LR=0.001, Opt=RMSProp, Epochs=50",1,0.5949,0.6868,0.5950,0.6706
"LR=0.001, Opt=RMSProp, Epochs=50",2,0.5965,0.6714,0.6065,0.6389
"LR=0.001, Opt=RMSProp, Epochs=50",3,0.6817,0.6162,0.4605,0.9992
"LR=0.001, Opt=RMSProp, Epochs=50",4,0.7175,0.5797,0.7560,0.5105
"LR=0.001, Opt=RMSProp, Epochs=50",5,0.7346,0.5524,0.7460,0.5352
"LR=0.001, Opt=RMSProp, Epochs=50",6,0.7358,0.5457,0.7670,0.5161
"LR=0.001, Opt=RMSProp, Epochs=50",7,0.7414,0.5363,0.7385,0.5511
"LR=0.001, Opt=RMSProp, Epochs=50",8,0.7498,0.5257,0.7685,0.4907
"LR=0.001, Opt=RMSProp, Epochs=50",9,0.7550,0.5154,0.7545,0.5291
"LR=0.001, Opt=RMSProp, Epochs=50",10,0.7602,0.5076,0.7895,0.4849
"LR=0.001, Opt=RMSProp, Epochs=50",11,0.7655,0.4983,0.6815,0.5965
"LR=0.001, Opt=RMSProp, Epochs=50",12,0.7660,0.4937,0.7655,0.4895
"LR=0.001, Opt=RMSProp, Epochs=50",13,0.7666,0.4867,0.7695,0.4982
"LR=0.001, Opt=RMSProp, Epochs=50",14,0.7659,0.4884,0.7775,0.4788
"LR=0.001, Opt=RMSProp, Epochs=50",15,0.7790,0.4770,0.7845,0.4689
"LR=0.001, Opt=RMSProp, Epochs=50",16,0.7745,0.4756,0.7835,0.4992
"LR=0.001, Opt=RMSProp, Epochs=50",17,0.7794,0.4634,0.7755,0.4971
"LR=0.001, Opt=RMSProp, Epochs=50",18,0.7876,0.4618,0.7705,0.4843
"LR=0.001, Opt=RMSProp, Epochs=50",19,0.7899,0.4544,0.7680,0.4755
"LR=0.001, Opt=RMSProp, Epochs=50",20,0.7974,0.4374,0.7840,0.4852
"LR=0.001, Opt=RMSProp, Epochs=50",21,0.8052,0.4291,0.7650,0.5223
"LR=0.001, Opt=RMSProp, Epochs=50",22,0.8106,0.4174,0.7250,0.5335
"LR=0.001, Opt=RMSProp, Epochs=50",23,0.8242,0.3957,0.7360,0.5375
"LR=0.001, Opt=RMSProp, Epochs=50",24,0.8334,0.3823,0.7570,0.5806
"LR=0.001, Opt=RMSProp, Epochs=50",25,0.8455,0.3654,0.7465,0.6082
"LR=0.001, Opt=RMSProp, Epochs=50",26,0.8614,0.3292,0.7720,0.5644
"LR=0.001, Opt=RMSProp, Epochs=50",27,0.8719,0.3101,0.7650,0.6404
"LR=0.001, Opt=RMSProp, Epochs=50",28,0.8879,0.2754,0.7810,0.6078
"LR=0.001, Opt=RMSProp, Epochs=50",29,0.9003,0.2492,0.7720,0.7535
"LR=0.001, Opt=RMSProp, Epochs=50",30,0.9115,0.2277,0.7465,0.8196
"LR=0.001, Opt=RMSProp, Epochs=50",31,0.9164,0.2150,0.7520,0.7225
"LR=0.001, Opt=RMSProp, Epochs=50",32,0.9301,0.1913,0.7515,0.9075
"LR=0.001, Opt=RMSProp, Epochs=50",33,0.9309,0.1821,0.7480,0.9759
"LR=0.001, Opt=RMSProp, Epochs=50",34,0.9381,0.1672,0.7495,1.0413
"LR=0.001, Opt=RMSProp, Epochs=50",35,0.9424,0.1480,0.7310,1.3581
"LR=0.001, Opt=RMSProp, Epochs=50",36,0.9473,0.1473,0.7520,1.0407
"LR=0.001, Opt=RMSProp, Epochs=50",37,0.9540,0.1271,0.7460,1.1806
"LR=0.001, Opt=RMSProp, Epochs=50",38,0.9553,0.1323,0.7555,1.1281
"LR=0.001, Opt=RMSProp, Epochs=50",39,0.9588,0.1184,0.7400,1.2249
"LR=0.001, Opt=RMSProp, Epochs=50",40,0.9624,0.1096,0.7440,1.1190
"LR=0.001, Opt=RMSProp, Epochs=50",41,0.9645,0.1050,0.7440,1.1345
"LR=0.001, Opt=RMSProp, Epochs=50",42,0.9660,0.0997,0.7535,1.3312
"LR=0.001, Opt=RMSProp, Epochs=50",43,0.9668,0.1027,0.7525,1.0713
"LR=0.001, Opt=RMSProp, Epochs=50",44,0.9680,0.0887,0.7415,1.4123
"LR=0.001, Opt=RMSProp, Epochs=50",45,0.9682,0.0919,0.7415,1.1828
"LR=0.001, Opt=RMSProp, Epochs=50",46,0.9749,0.0776,0.7420,1.3059
"LR=0.001, Opt=RMSProp, Epochs=50",47,0.9759,0.0780,0.7425,1.4545
"LR=0.001, Opt=RMSProp, Epochs=50",48,0.9744,0.0784,0.7340,1.3869
