,learning_rate,optimizer,epoch,accuracy,loss,val_accuracy,val_loss,trial_name
0,0.0100,Adam,1,0.5879,4.1697,0.5950,0.6753,"LR=0.01, Opt=Adam"
1,0.0100,Adam,2,0.5949,0.6759,0.5950,0.6753,"LR=0.01, Opt=Adam"
2,0.0100,Adam,3,0.5949,0.6758,0.5950,0.6751,"LR=0.01, Opt=Adam"
3,0.0100,Adam,4,0.5949,0.6755,0.5950,0.6750,"LR=0.01, Opt=Adam"
4,0.0100,Adam,5,0.5949,0.6759,0.5950,0.6755,"LR=0.01, Opt=Adam"
5,0.0100,Adam,6,0.5949,0.6758,0.5950,0.6754,"LR=0.01, Opt=Adam"
6,0.0100,Adam,7,0.5949,0.6760,0.5950,0.6751,"LR=0.01, Opt=Adam"
7,0.0100,Adam,8,0.5949,0.6761,0.5950,0.6751,"LR=0.01, Opt=Adam"
8,0.0100,Adam,9,0.5949,0.6753,0.5950,0.6754,"LR=0.01, Opt=Adam"
9,0.0100,Adam,10,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=Adam"
10,0.0100,Adam,11,0.5949,0.6752,0.5950,0.6751,"LR=0.01, Opt=Adam"
11,0.0100,Adam,12,0.5949,0.6755,0.5950,0.6751,"LR=0.01, Opt=Adam"
12,0.0100,Adam,13,0.5949,0.6755,0.5950,0.6757,"LR=0.01, Opt=Adam"
13,0.0100,Adam,14,0.5949,0.6756,0.5950,0.6751,"LR=0.01, Opt=Adam"
14,0.0100,Adam,15,0.5949,0.6755,0.5950,0.6752,"LR=0.01, Opt=Adam"
15,0.0100,Adam,16,0.5949,0.6755,0.5950,0.6753,"LR=0.01, Opt=Adam"
16,0.0100,Adam,17,0.5949,0.6759,0.5950,0.6750,"LR=0.01, Opt=Adam"
17,0.0100,Adam,18,0.5949,0.6753,0.5950,0.6750,"LR=0.01, Opt=Adam"
18,0.0100,Adam,19,0.5949,0.6758,0.5950,0.6755,"LR=0.01, Opt=Adam"
19,0.0100,Adam,20,0.5949,0.6755,0.5950,0.6753,"LR=0.01, Opt=Adam"
20,0.0100,RMSProp,1,0.5943,0.6811,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
21,0.0100,RMSProp,2,0.5949,0.6761,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
22,0.0100,RMSProp,3,0.5949,0.6759,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
23,0.0100,RMSProp,4,0.5949,0.6756,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
24,0.0100,RMSProp,5,0.5949,0.6755,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
25,0.0100,RMSProp,6,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
26,0.0100,RMSProp,7,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
27,0.0100,RMSProp,8,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
28,0.0100,RMSProp,9,0.5949,0.6756,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
29,0.0100,RMSProp,10,0.5949,0.6755,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
30,0.0100,RMSProp,11,0.5949,0.6753,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
31,0.0100,RMSProp,12,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
32,0.0100,RMSProp,13,0.5949,0.6752,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
33,0.0100,RMSProp,14,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
34,0.0100,RMSProp,15,0.5949,0.6754,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
35,0.0100,RMSProp,16,0.5949,0.6754,0.5950,0.6752,"LR=0.01, Opt=RMSProp"
36,0.0100,RMSProp,17,0.5949,0.6755,0.5950,0.6750,"LR=0.01, Opt=RMSProp"
37,0.0100,RMSProp,18,0.5949,0.6754,0.5950,0.6751,"LR=0.01, Opt=RMSProp"
38,0.0100,RMSProp,19,0.5949,0.6752,0.5950,0.6759,"LR=0.01, Opt=RMSProp"
39,0.0100,RMSProp,20,0.5949,0.6748,0.5950,0.6768,"LR=0.01, Opt=RMSProp"
40,0.0010,Adam,1,0.5936,0.6445,0.4050,0.6944,"LR=0.001, Opt=Adam"
41,0.0010,Adam,2,0.5681,0.6899,0.5950,0.6858,"LR=0.001, Opt=Adam"
42,0.0010,Adam,3,0.5949,0.6831,0.5950,0.6808,"LR=0.001, Opt=Adam"
43,0.0010,Adam,4,0.5949,0.6794,0.5950,0.6781,"LR=0.001, Opt=Adam"
44,0.0010,Adam,5,0.5949,0.6773,0.5950,0.6766,"LR=0.001, Opt=Adam"
45,0.0010,Adam,6,0.5949,0.6762,0.5950,0.6758,"LR=0.001, Opt=Adam"
46,0.0010,Adam,7,0.5949,0.6756,0.5950,0.6754,"LR=0.001, Opt=Adam"
47,0.0010,Adam,8,0.5949,0.6753,0.5950,0.6751,"LR=0.001, Opt=Adam"
48,0.0010,Adam,9,0.5949,0.6752,0.5950,0.6751,"LR=0.001, Opt=Adam"
49,0.0010,Adam,10,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
50,0.0010,Adam,11,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
51,0.0010,Adam,12,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
52,0.0010,Adam,13,0.5949,0.6750,0.5950,0.6750,"LR=0.001, Opt=Adam"
53,0.0010,Adam,14,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
54,0.0010,Adam,15,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
55,0.0010,Adam,16,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
56,0.0010,Adam,17,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
57,0.0010,Adam,18,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
58,0.0010,Adam,19,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
59,0.0010,Adam,20,0.5949,0.6751,0.5950,0.6750,"LR=0.001, Opt=Adam"
60,0.0010,RMSProp,1,0.5949,0.6856,0.5950,0.6944,"LR=0.001, Opt=RMSProp"
61,0.0010,RMSProp,2,0.5949,0.6729,0.5950,0.6736,"LR=0.001, Opt=RMSProp"
62,0.0010,RMSProp,3,0.6389,0.6480,0.7095,0.5768,"LR=0.001, Opt=RMSProp"
63,0.0010,RMSProp,4,0.7104,0.5873,0.7215,0.5734,"LR=0.001, Opt=RMSProp"
64,0.0010,RMSProp,5,0.7283,0.5616,0.7075,0.5892,"LR=0.001, Opt=RMSProp"
65,0.0010,RMSProp,6,0.7372,0.5444,0.7110,0.5760,"LR=0.001, Opt=RMSProp"
66,0.0010,RMSProp,7,0.7476,0.5293,0.7175,0.5445,"LR=0.001, Opt=RMSProp"
67,0.0010,RMSProp,8,0.7536,0.5158,0.7150,0.5673,"LR=0.001, Opt=RMSProp"
68,0.0010,RMSProp,9,0.7580,0.5083,0.7785,0.4871,"LR=0.001, Opt=RMSProp"
69,0.0010,RMSProp,10,0.7616,0.5014,0.7770,0.4784,"LR=0.001, Opt=RMSProp"
70,0.0010,RMSProp,11,0.7679,0.4936,0.7750,0.4890,"LR=0.001, Opt=RMSProp"
71,0.0010,RMSProp,12,0.7716,0.4875,0.7740,0.4915,"LR=0.001, Opt=RMSProp"
72,0.0010,RMSProp,13,0.7753,0.4816,0.7605,0.4996,"LR=0.001, Opt=RMSProp"
73,0.0010,RMSProp,14,0.7739,0.4792,0.7925,0.4655,"LR=0.001, Opt=RMSProp"
74,0.0010,RMSProp,15,0.7807,0.4698,0.7710,0.4815,"LR=0.001, Opt=RMSProp"
75,0.0010,RMSProp,16,0.7807,0.4704,0.7825,0.4807,"LR=0.001, Opt=RMSProp"
76,0.0010,RMSProp,17,0.7872,0.4632,0.7775,0.4642,"LR=0.001, Opt=RMSProp"
77,0.0010,RMSProp,18,0.7870,0.4576,0.7800,0.4679,"LR=0.001, Opt=RMSProp"
