trial_name,epoch,accuracy,loss,val_accuracy,val_loss
"LR=0.001, Opt=Adam, DR=0.3",1,0.6336,0.6276,0.763,0.5157
"LR=0.001, Opt=Adam, DR=0.3",2,0.7446,0.5361,0.7705,0.4888
"LR=0.001, Opt=Adam, DR=0.3",3,0.7491,0.5311,0.7455,0.5204
"LR=0.001, Opt=Adam, DR=0.3",4,0.7538,0.516,0.7685,0.5131
"LR=0.001, Opt=Adam, DR=0.3",5,0.7604,0.5082,0.741,0.5178
"LR=0.001, Opt=Adam, DR=0.3",6,0.7611,0.5108,0.788,0.4769
"LR=0.001, Opt=Adam, DR=0.3",7,0.7645,0.4987,0.773,0.4898
"LR=0.001, Opt=Adam, DR=0.3",8,0.7671,0.4966,0.774,0.4825
"LR=0.001, Opt=Adam, DR=0.3",9,0.7837,0.4787,0.783,0.473
"LR=0.001, Opt=Adam, DR=0.3",10,0.7799,0.469,0.785,0.4634
"LR=0.001, Opt=Adam, DR=0.3",11,0.7897,0.4574,0.7815,0.4794
"LR=0.001, Opt=Adam, DR=0.3",12,0.7831,0.4673,0.7875,0.4626
"LR=0.001, Opt=Adam, DR=0.3",13,0.7895,0.4606,0.7985,0.4662
"LR=0.001, Opt=Adam, DR=0.3",14,0.789,0.4563,0.795,0.4531
"LR=0.001, Opt=Adam, DR=0.3",15,0.7971,0.4441,0.783,0.4624
"LR=0.001, Opt=Adam, DR=0.3",16,0.7946,0.4473,0.7745,0.4701
"LR=0.001, Opt=Adam, DR=0.3",17,0.7979,0.4398,0.803,0.4419
"LR=0.001, Opt=Adam, DR=0.3",18,0.8089,0.428,0.801,0.4711
"LR=0.001, Opt=Adam, DR=0.3",19,0.815,0.4192,0.7725,0.4874
"LR=0.001, Opt=Adam, DR=0.3",20,0.81,0.4199,0.7695,0.4821
"LR=0.001, Opt=Adam, DR=0.3",21,0.8167,0.4088,0.7995,0.446
"LR=0.001, Opt=Adam, DR=0.3",22,0.8189,0.406,0.7835,0.4791
"LR=0.001, Opt=Adam, DR=0.3",23,0.8254,0.3933,0.7795,0.4658
"LR=0.001, Opt=Adam, DR=0.3",24,0.8294,0.3876,0.771,0.471
"LR=0.001, Opt=Adam, DR=0.3",25,0.8307,0.3873,0.778,0.4679
